called directly with directory .
Hash: 1fd3c2538965fa861f0227d82ec4b67d Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/request/node_modules/hawk/node_modules/hoek/test/modules/test3.js

Hash: f09a1b442de2d68fed4870cbee2b1832 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/read-cmd-shim/.npmignore

Hash: 6f345faa60b4e70dc47a5eb65b4ed937 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/realize-package-specifier/.npmignore

Hash: bf6140707e4484a535b077d7d5977316 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/init-package-json/node_modules/promzard/.npmignore

Hash: 9cffd707189bd99c2f26558ad54e2626 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/retry/.npmignore

Hash: 41eab2433ad99690716216957d8cafbc Time: 1ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/columnify/node_modules/wcwidth/node_modules/defaults/node_modules/clone/.travis.yml

Hash: f35364566953f51f6a18afa8241623c3 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/sorted-union-stream/node_modules/from2/node_modules/readable-stream/.npmignore

Hash: 02af0cc00b31700c2fb8345894326f64 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/editor/example/beep.json

Hash: b8df00abc703c67317ceed4211ce7b0a Time: 1ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/node-gyp/.npmignore

Hash: a1ac1d7cbeb2ac0be2433dcc2c76354b Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/lockfile/.npmignore

Hash: 4d6e1050616690036bd7b9ab3872b02a Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/fs-write-stream-atomic/.npmignore

Hash: f91ed5a572f6477dae9ca4526a0c9f34 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/request/node_modules/hawk/node_modules/sntp/.travis.yml

Hash: 1578eee81b2b3bec97af747e482f1cb9 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/normalize-package-data/.travis.yml

Hash: 5cb8e34d19c2a1d6664bd0e861873141 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/slide/index.js

Hash: 79964ffbd8241bcd6d6e6384db3d7b8f Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/request/node_modules/http-signature/node_modules/sshpk/node_modules/tweetnacl/.npmignore

Hash: 30b35b5407b8e75690bce6759fa73c4f Time: 1ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/read-package-json/test/fixtures/erroneous.json

Hash: 20f77dc2b83a10aa6907ab13d77a57da Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/sha/.npmignore

Hash: 88dd2440b3948e0b1fb35b10dc21488f Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/retry/index.js

Hash: 33df478c610ce1910bea8cd2f915620b Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/glob/node_modules/minimatch/node_modules/brace-expansion/node_modules/concat-map/.travis.yml

Hash: 46ffdab9b9cca8e1554212ba1fe5573e Time: 1ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/archy/.travis.yml

Hash: 33df478c610ce1910bea8cd2f915620b Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/node-gyp/node_modules/minimatch/node_modules/brace-expansion/node_modules/concat-map/.travis.yml

Hash: 912f07df12142055c344f6b32f721575 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/request/node_modules/hawk/.travis.yml

Hash: 33df478c610ce1910bea8cd2f915620b Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/request/node_modules/stringstream/.travis.yml

Hash: 33df478c610ce1910bea8cd2f915620b Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/fstream-npm/node_modules/fstream-ignore/node_modules/minimatch/node_modules/brace-expansion/node_modules/concat-map/.travis.yml

Hash: afb0c1c4cc2369dc940c2185d462549e Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/request/node_modules/http-signature/node_modules/sshpk/node_modules/asn1/.travis.yml

Hash: c36b8f48ce1c6052b7bfbb926cdd96a7 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/npmlog/node_modules/gauge/node_modules/wide-align/.npmignore

Hash: 9a948e25c9dd10247619f816d6f38985 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/mkdirp/node_modules/minimist/.travis.yml

Hash: b2f93861ee4513bb0fe47e4d2db3d0ed Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/glob/node_modules/minimatch/node_modules/brace-expansion/node_modules/balanced-match/.npmignore

Hash: 9a948e25c9dd10247619f816d6f38985 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/mississippi/node_modules/concat-stream/node_modules/typedarray/.travis.yml

Hash: 9a948e25c9dd10247619f816d6f38985 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/npm-registry-client/node_modules/concat-stream/node_modules/typedarray/.travis.yml

Hash: b2f93861ee4513bb0fe47e4d2db3d0ed Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/node-gyp/node_modules/minimatch/node_modules/brace-expansion/node_modules/balanced-match/.npmignore

Hash: b2f93861ee4513bb0fe47e4d2db3d0ed Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/fstream-npm/node_modules/fstream-ignore/node_modules/minimatch/node_modules/brace-expansion/node_modules/balanced-match/.npmignore

Hash: b1b945c39925dc691946a12d9fc8ce8b Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/cli.js

Hash: 9a948e25c9dd10247619f816d6f38985 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/readable-stream/node_modules/isarray/.travis.yml

Hash: 4022b2eeeb4f43ae0932d8eb0b76590d Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/read-package-json/test/fixtures/readmes/package.json

Hash: 55c590812042ff11bb864767da348bab Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/mississippi/node_modules/through2/node_modules/xtend/Makefile

Hash: 0bbee744616e6f49c9204d153c492e90 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/readable-stream/duplex.js

Hash: 0bbee744616e6f49c9204d153c492e90 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/sorted-union-stream/node_modules/from2/node_modules/readable-stream/duplex.js

Hash: 64168dce8ac3b4d07ed84affbadb52f5 Time: 1ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/sorted-union-stream/node_modules/from2/node_modules/readable-stream/writable.js

Hash: 64168dce8ac3b4d07ed84affbadb52f5 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/readable-stream/writable.js

Hash: 7ac62c3760337641fb3d0d4af6e98038 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/request/node_modules/http-signature/.npmignore

Hash: 868397961ff723231a171bd378749690 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/JSONStream/node_modules/through/.travis.yml

Hash: c741030ec12b51eb7b7db4cb33018418 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/readable-stream/transform.js

Hash: 7091387d1f36ef29a439633a20fb21cd Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/readable-stream/node_modules/isarray/Makefile

Hash: c741030ec12b51eb7b7db4cb33018418 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/sorted-union-stream/node_modules/from2/node_modules/readable-stream/transform.js

Hash: 0c37f6b2f15bba603db1fcace84703e4 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/readable-stream/passthrough.js

Hash: 0c37f6b2f15bba603db1fcace84703e4 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/sorted-union-stream/node_modules/from2/node_modules/readable-stream/passthrough.js

Hash: 2b7e37132783630198c6412cfe05a00d Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/request/node_modules/combined-stream/node_modules/delayed-stream/Makefile

Hash: 195432d3f08da079c5fff5f4cee67b78 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/iferr/test/mocha.opts

Hash: 54ebb1e21cfa43f97cbf0ea7149b9642 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/sorted-union-stream/.travis.yml

Hash: 54ebb1e21cfa43f97cbf0ea7149b9642 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/mississippi/node_modules/pump/.travis.yml

Hash: 12ac046cc9e09cf8e528413ea9d75408 Time: 1ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/request/node_modules/hawk/node_modules/hoek/.travis.yml

Hash: 0f299c50e95784e7cdb68f1d62dc3564 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/request/node_modules/hawk/node_modules/boom/.travis.yml

Hash: d9f96917a7cad57c9e1758e948f4afb8 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/chownr/README.md

Hash: 0ccb7392f9501c28c3ac30f344c37fe2 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/lib/utils/is-windows.js

Hash: 2321d2144f9b854a48791c52246f7063 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/request/node_modules/aws4/.travis.yml

Hash: 4afe2402ce92a16941129bf7c0d55ffe Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/sorted-union-stream/node_modules/stream-iterate/.travis.yml

